,title,media,time
52,&#39;김희철♥&#39; 트와이스 모모 &quot;원스 모해애앳&quot;...물오른 미모 과시,시민일보,2020.02.02.
53,"&#39;미운 우리 새끼&#39; 김희철, 솔직한 김영철母 발언에 당황한 이유",톱스타뉴스,2020.02.02.
54,"[왜?] 가성비, 소확행…다음 소비 트렌드는? &#39;플렉스 자린고비&#39;",이데일리,2020.02.02.
55,"[RE:TV] &#39;아는 형님&#39; 진서연, 걸크러시+엉뚱미 호감도↑…예능도 대세",뉴스1,2020.02.02.
56,"&#39;아는형님&#39; 진서연 &quot;남편과 베를린 거주, 클럽서 만나 3개월 만 혼인신고&quot; [전일야화]",엑스포츠뉴스,2020.02.02.
57,"인천광역시의회, 김하운 인천광역시 경제특보 초청 세미나 개최",아시아뉴스통신,2020.02.02.
58,"정선군, 정선군립아리랑예술단원 공개오디션 모집",국제뉴스,2020.02.02.
59,같이 아르바이트하고 싶은 능력자…유재석·김수미·박나래 순,아시아투데이,2020.02.02.
60,[인사] 대법원(고등법원 부장판사),이코노뉴스,2020.02.02.
61,[인사] 대법원,디지털타임스,2020.02.02.
62,방탄소년단 지민 서울 가요대상 본상 수상에 &quot;아미 여러분 고맙고 감사&quot;,폴리뉴스,2020.02.02.
63,예능 방송인 브랜드평판 2월 빅데이터 분석결과... 1위 강호동,비욘드포스트,2020.02.02.
64,"`맛남의 광장` 에이프릴 나은, 제주도 알바요정 인증샷 공개 `깜짝`",리서치페이퍼,2020.02.02.
65,"&quot;낯가린다&quot;…에이프릴 나은, &#39;맛남의 광장&#39; 깜짝 등장한 이유는?",톱스타뉴스,2020.02.02.
66,"진서연 남편 누구? 나이 9살 많아, 인테리어 디자이너 겸 디렉터…클럽서 만나 3개월 만에 결혼",한국스포츠통신,2020.02.02.
67,"인천시의회, 다문화 사회의 정책 방향 연구회 세미나 개최",중도일보,2020.02.02.
68,"“예능 방송인 2월 브랜드평판 1위 강호동, 2위 유재석, 3위 이영자”",영남일보,2020.02.02.
69,"인천시의회, ‘인천의 산업생산구조와 과제’ 세미나 개최",중도일보,2020.02.02.
70,소녀시대 최수영이 &#39;대충대충 리허설&#39;을 해명하며 한 말,허프포스트코리아,2020.02.02.
71,"‘소녀시대’ 최수영, ‘유노윤호의 천적’이 된 ‘대충대충 리허설’ 해명",민중의소리,2020.02.02.
72,[인사] 대법원,동양일보,2020.02.02.
73,김희철 얼음계곡 입수 &quot;박진영·이수만 연대책임 있다&quot;,뉴스컬처,2020.02.02.
74,시의회서 다문화 사회 정책 방향 연구회 세미나 개최,경기신문,2020.02.02.
75,"[친절한 프리뷰] &#39;미운 우리 새끼&#39; 김희철, 박진영에 이수만까지 소환한 사연은?",아시아투데이,2020.02.02.
76,"&#39;미우새&#39; 송가인, &quot;화면발 안 받아 통통하게 나와…콘서트 매진 기분 좋아&quot;",톱스타뉴스,2020.02.02.
77,"&#39;미우새&#39; 딸 바보 송창의, &quot;연기하는 거 아냐?&quot; 벌써 걱정…우주쪼꼬미 김희철·이수근·신동·김애숙, 가평 계곡물 입수!",톱스타뉴스,2020.02.02.
78,"인천시의회, 다문화 사회의 정책 방향 연구회 세미나 개최",경기일보,2020.02.02.
79,"&#39;미우새&#39; 박수홍, 김가연·김지선·김미려·정주리 아들·딸 모아 外 정신 혼미 식사…임원희 멜로디초 &#39;눈길&#39;",톱스타뉴스,2020.02.02.
80,"&#39;미운우리새끼&#39; 박수홍, 연애상담..김지선 &quot;만인에 친절하지마&quot;[★밤TView]",스타뉴스,2020.02.02.
81,"&#39;미우새&#39; 김희철→신동, 100만 뷰 실패로 얼음물 입수 (feat. 김영철 누나) [종합]",엑스포츠뉴스,2020.02.02.
82,"&#39;미우새&#39; 김희철→김애숙, 아찔한 얼음물 입수…송가인, 신곡 메들리 열창[종합S]",스포티비뉴스,2020.02.02.
83,"&#39;미우새&#39; 김희철X이수근, 우주쪼꼬미 공약 &#39;계곡물&#39; 입수→송가인, 트롯 메들리 &#39;母심저격&#39; [종합]",OSEN,2020.02.02.
84,"`미우새` 송가인, 엄마 아리랑X무명배우 열창... 모벤저스 환호성",매일경제,2020.02.02.
85,"[스브스夜] &#39;미우새&#39; 김희철X이수근, 얼음물 입수…母벤져스, 송가인에 &#39;덕밍아웃&#39;",SBS funE,2020.02.02.
86,"[종합]&#39;미운우리새끼&#39; 송가인, 신곡들고 미우새 찾았다…&#39;엄마아리랑&#39; &#39;무명배우&#39;",헤럴드POP,2020.02.02.
87,"[종합] `미우새` 김희철X이수근X신동, 뮤비 100만 조횟수 공약 위해 입수 단행 (With 김애숙)",매일경제,2020.02.02.
88,"&#39;미우새&#39; 김희철, 얼음물 입수 공약 이행…박수홍, 혹독한 연애수업(종합)",뉴스1,2020.02.02.
89,"&#39;미운우리새끼&#39; 김희철X이수근X신동, 얼음물 입수...&quot;12년 입수 베테랑도 당황케한 추위&quot;(종합)",아시아경제,2020.02.02.
90,"‘미운우리새끼’ 송가인, 엄마 아리랑X무명배우 열창으로 모벤져스 사랑 독차지",MTN,2020.02.02.
91,"[어게인TV]&#39;미우새&#39; 김희철, 얼음 계곡물 입수하며 &quot;새해복 많이 받아&quot; 반말",헤럴드POP,2020.02.03.
92,"&#39;미우새&#39; 김희철, 입방정 계곡 입수→송가인 &#39;무반주&#39; 노래로 넘사벽 입증 (ft.송창의 딸♥) [종합]",OSEN,2020.02.03.
93,"강호동, 유재석 제치고 예능 방송인 1위… &#39;라끼남·유튜브·먹방&#39; 주목",뉴스웍스,2020.02.03.
94,"‘미우새’ 김희철X이수근 얼음 깨고 입수, 최고의 1분 ‘16.3%’",뉴스엔,2020.02.03.
95,[TV북마크] ‘미우새’ 김희철×이수근 얼음물 입수…송가인 SBS 첫 입성,스포츠동아,2020.02.03.
96,&#39;미우새&#39; 김희철·이수근 얼음물 입수→송가인 MC 등장…최고 16.3%,뉴스1,2020.02.03.
97,"&#39;미우새&#39; 송창의+송가인, 스페셜 MC 등장‥딸바보+母벤져스 아이돌로 예능1위",헤럴드POP,2020.02.03.
98,&#39;미우새&#39; 송가인 SBS 첫 입성...김희철X이수근 얼음물 입수 16.3%,싱글리스트,2020.02.03.
99,"김희철 입수, 뮤비 100만 조회수 공약 지켰다 &quot;얼음물 풍덩&quot;",데일리한국,2020.02.03.
100,"&#39;미우새&#39; 김희철X이수근, 얼음 깨고 입수에 &#39;16.3%&#39; 최고의 1분 (feat.김영철누나)",스포츠조선,2020.02.03.
101,"‘미운우리새끼’ 송가인, SBS 첫 입성에 히트곡 메들리로 화답 &#39;동시간대 예능 1위&#39;",텐아시아,2020.02.03.
102,"김희철X이수근, 얼음물 입수→송가인 SBS 첫 입성…&#39;미우새&#39; 동시간대 예능 1위",SBS funE,2020.02.03.
103,"[툭-tv] “母벤져스 아이돌 떴다”...‘미우새’ 송가인, 등장만으로 ‘시선 올킬’",매일경제,2020.02.03.
104,"&#39;미우새&#39; 김희철X이수근, 얼음물 계곡 입수…&#39;최고의 1분&#39;",스포티비뉴스,2020.02.03.
105,"‘미우새’ 김희철×이수근, 얼음 깨고 입수 최고의 1분!!(feat. 신동×김영철 누나) [간밤TV]",스포츠경향,2020.02.03.
106,"&#39;미우새&#39; 김희철X이수근, &#39;우주쪼꼬미&#39; 얼음물 입수→최고의 1분 &#39;16.3%&#39;",OSEN,2020.02.03.
107,&#39;우한 폐렴&#39; 타격 우려되는 코스피 100대 기업은?...LG디스플레이 매출 64% 중국에 의존,,2020.02.03.
108,"&#39;미우새&#39; 송창의, 딸바보 면모 &quot;4살 딸 표정연기 신기, 연기 하려나 생각&quot;",조이뉴스24,2020.02.03.
109,"&#39;미우새&#39; 김희철X이수근, 공약 실패로 얼음 물 입수…16.3% 최고의 1분 [어젯밤TV]",마이데일리,2020.02.03.
110,"&#39;미우새&#39; 김희철X이수근, 얼음 깨고 입수 성공…16.3% 최고의 1분(ft.김영철누나)",엑스포츠뉴스,2020.02.03.
111,"인천시의회 다문화 사회의 정책방향 연구회, 세미나 개최",아주경제,2020.02.03.
112,‘제2의 강남’ 가능성··· 여전할까,브라보마이라이프,2020.02.03.
113,"&#39;미우새&#39; 김희철X이수근, 얼음 깨고 입수 성공…최고의 1분",스포츠서울,2020.02.03.
114,"휴롬 착즙기, &#39;맛남의 광장&#39;서 제주 귤 주스 선보여.. 문의 잇따라",파이낸셜뉴스,2020.02.03.
115,"김희철 계곡입수, 이수근과 얼음 깨고 풍덩...최고의 1분 [M+TV시청률]",MBN,2020.02.03.
116,"&#39;미우새&#39; 김희철X이수근, 얼음물 입수 성공..최고 16.3%",스타뉴스,2020.02.03.
117,"김희철 계곡입수, 장인 이수근도 인정한 ‘얼음물 계곡’",스포츠동아,2020.02.03.
118,"태백시, 화재안전 시설개선 지원사업 추진",국제뉴스,2020.02.03.
119,"&#39;미우새&#39; 송가인X송창의, 스페셜 MC 출격... 동시간대 예능 1위",스타데일리뉴스,2020.02.03.
120,"김희철 계곡입수, 이수근·신동과 풍덩...`얼음지옥`(ft.김영철 누나)",매일경제,2020.02.03.
121,‘맛남의 광장’ 제주 귤 주스 착즙기 화제 모은 까닭은?,세계일보,2020.02.03.
122,&#39;맛남의 광장&#39; 제주도? 광어&amp;귤 변신 대성공...&#39;에이프릴&#39; 나은에도 관심,인터뷰365,2020.02.03.
123,"인천시의회, 다문화사회 정책방향 연구회 세미나 개최",이뉴스투데이,2020.02.03.
124,예능 방송인 브랜드평판 톱 3는? 강호동 유재석 이영자 순,베리타스알파,2020.02.03.
125,정선알파인경기장 2024동계청소년올림픽 활용 요구,국제뉴스,2020.02.03.
126,2020년 제29회 서울가요대상 성료,G밸리뉴스,2020.02.03.
127,2020년 제29회 서울가요대상 화려한 무대 밑 긴장과 감동의 순간,데일리그리드,2020.02.03.
128,"[팝업★]&quot;누구냐 말도 안돼&quot;‥&#39;31kg 감량&#39; 신동, 스스로 놀란 증명사진 비주얼",헤럴드POP,2020.02.03.
129,"인천시의회 연구회, 산업생산구조 세미나 개최",시민일보,2020.02.03.
130,2020년 제29회 서울가요대상 화려한 무대 밑 긴장과 감동의 순간,일간스포츠,2020.02.03.
131,"[인사] 부산경찰청-상반기 경정, 경감급",로이슈,2020.02.03.
132,"&#39;미운 우리 새끼&#39; 김희철 이수근 얼음물 입수, 최고의 1분",서울경제,2020.02.03.
133,[인사] 부산지방경찰청 경정·경감,부산일보,2020.02.03.
134,&quot;트롯계의 송혜교&quot; &#39;복면가왕&#39; 아메리칸 핫도그 정체 &#39;정미애&#39;는 누구?,문화뉴스,2020.02.03.
135,[단독영상]트와이스·송가인부터 뉴이스트·몬엑까지…친목 &#39;훈훈&#39; (2020 서울가요대상),스포츠서울,2020.02.03.
136,류태호 태백시장 &quot;과하다 싶을 만큼 만전 기할 것&quot;,국제뉴스,2020.02.03.
137,"[단독영상]레드벨벳, 태연 트로피 촬영 구경하며 &#39;물개박수&#39; (2020 서울가요대상)",스포츠서울,2020.02.03.
138,[인사]부산경찰청(2월 4일자),국제신문,2020.02.03.
139,"[김희철의 전쟁사](22) 중공군 입장에서 본 한국전쟁, 제 5차 공세 저지시킨 영국군의 설마리 전투",뉴스투데이,2020.02.03.
140,"&#39;미우새&#39; 신동, 다이어트 중 몸무게 못이겨 얼음 입수…&quot;나는 못해&quot;",톱스타뉴스,2020.02.03.
141,강형욱 나이 몇이길래 송중기와 동갑! 아내 미모도 &#39;어마어마&#39;,데일리시큐,2020.02.03.
142,"예능 방송인 브랜드평판 분석결과... 1위 강호동, 2위 유재석, 3위 이영자",지피코리아,2020.02.03.
143,[김희철의 문화칼럼] &quot;납득이 가게끔 살아. 누구의 삶도 아닌 너의 인생이니까&quot;,교수신문,2020.02.03.
144,"‘맛남의 광장’ 새로운 주인공은 제주산 광어! 광어, 군대까지 가게 된 사연은?",한스경제,2020.02.03.
145,[인사] 전북지방경찰청,쿠키뉴스,2020.02.03.
146,[그래픽 ONE SHOT] 2월 예능 방송인 브랜드 1위…유재석 제친 ‘강호동’,중앙일보,2020.02.04.
147,[단독] ‘맛남의 광장’ 휴게소 아닌 ‘폐교 시식회’ 진행…신종 코로나 확산 우려,TV리포트,2020.02.04.
148,"[카드뉴스] 지난주 핫이슈, 박명수 &quot;마스크 샀다가 다시 취소&quot;",스포츠조선,2020.02.04.
149,"태백시, 소상공인 경영안정자금 융자 지원 신청 접수",국제뉴스,2020.02.04.
150,"‘제29회 하이원 서울가요대상’, 성황리 개최…역대 최대 규모",아시아경제,2020.02.04.
151,"정선군, 신종 코로나 바이러스 대비 군민안전 대응체계 강화",국제뉴스,2020.02.04.
152,"‘맛남의 광장’ PD “폐교 시식회, 신종코로나 확산 방지…안전 최우선”[직격인터뷰]",MK스포츠,2020.02.04.
153,"‘77억의 사랑’ 나의 간부터 벼룩까지, 각 나라 애칭 문화충격",뉴스엔,2020.02.04.
154,&#39;77억의 사랑&#39; 2차 티저 공개..각국 연인 애칭에 문화 충격 [Oh!쎈 컷],OSEN,2020.02.04.
155,&quot;나의 간→벼룩&quot;…&#39;77억의 사랑&#39; 각 나라 애칭에 문화 충격,마이데일리,2020.02.04.
156,"신동엽·유인나·김희철 &#39;77억의 사랑&#39;, 2차 예고편 공개…각 나라 애칭에 &#39;문화 충격&#39;",텐아시아,2020.02.04.
157,&#39;77억의 사랑&#39; 전세계 &#39;연인&#39; 애칭은?...2차 티저영상 공개,싱글리스트,2020.02.04.
158,"&#39;77억의 사랑&#39;, 각 나라 애칭에 문화 충격?…2차 티저 영상 공개",한국경제,2020.02.04.
159,강타♥정유미 열애설 최초 보도한 마켓뉴스 모모♥김희철 이어 장미인애 유흥업소 출근 보도까지 &#39;정말 사실 일까?&#39;,금강일보,2020.02.04.
160,"‘77억의 사랑’, 나라별 연인을 부르는 애칭은?...문화 충격 2차 티저 공개",한국일보,2020.02.04.
161,&#39;77억의 사랑&#39; 2차 티저 영상 공개..나라마다 다른 생각+문화 공감대 형성,헤럴드POP,2020.02.04.
162,“술 많이 마셨어?” 강타 질문에 수줍게 답했던 골수팬 정유미,국민일보,2020.02.04.
163,"[방송리뷰] 미운우리새끼, 송창의 송가인 관심 집중",데일리그리드,2020.02.04.
164,&#39;77억의 사랑&#39; 2차 티저 영상 공개! 각 나라 애칭에 문화 충격?,JTBC,2020.02.04.
165,태백 황부자와 며느리 &quot;장학금을 나눠주다&quot;,국제뉴스,2020.02.04.
166,&#39;77억의 사랑&#39; 2차 티저 영상 공개… 각 나라 애칭에 문화 충격?,천지일보,2020.02.04.
167,인천 기후변화대응실천연대회의 제5차회의 개최,인천뉴스,2020.02.04.
168,"기후변화대응연대, 손수건 갖기 운동 결의",인천일보,2020.02.04.
169,&#39;77억의 사랑&#39; 2차 티저 영상 공개 각 나라 애칭에 문화 충격?,지피코리아,2020.02.04.
170,"[TV리뷰] 미운우리새끼, 송창의 송가인 스페셜 MC",새전북신문,2020.02.05.
171,[강원 날씨] 설악산 영하 20.4℃→강원도 전역 한파특보,국제뉴스,2020.02.05.
172,사진으로 다시 보는 &#39;제29회 서가대&#39;…레드카펫→엔딩 타임라인(영상),스포츠서울,2020.02.05.
173,"‘맛남의 광장’ 김희철, 백종원 아닌 소유진 만난 이유 “금손 소여사”",뉴스엔,2020.02.05.
174,"&#39;맛남의 광장&#39; 김희철, 백종원 아닌 소유진 만났다…열정 폭발 [포인트:컷]",엑스포츠뉴스,2020.02.05.
175,"김희철, ‘맛남의 광장’ 촬영 전 백종원 아닌 소유진을 만나러 간 이유는?",아주경제,2020.02.05.
176,"[김희철의 전쟁사](23) 중공군 입장에서 본 한국전쟁, 제 5차 공세 사창리 전투에서 치욕적 패배",뉴스투데이,2020.02.05.
177,"‘맛남의 광장’ 에이프릴 나은, 여자 백종원으로 등극한 사연은?",한국일보,2020.02.05.
178,"&#39;맛남의 광장&#39; 김희철, 백종원 대신 소유진 찾아간 이유",스포츠조선,2020.02.05.
179,"‘맛남의 광장’ 김희철, 촬영 전 백종원 아닌 소유진 찾아간 이유는?",텐아시아,2020.02.05.
180,"&#39;맛남의 광장&#39; 김희철, 촬영 전 백종원→소유진 만나러 간 사연은?",싱글리스트,2020.02.05.
181,"태백시, 미신고 숙박영업 실태 조사 실시",국제뉴스,2020.02.05.
182,"‘맛남의 광장’ 김희철, 소유진과 은밀한 회동?…에이프릴 나은, 양세형 김밥에 촌철살인 맛 평가!",스포츠경향,2020.02.05.
183,"김희철, &#39;맛남의 광장&#39; 촬영 전 소유진 만나러 간 이유는?",스타뉴스,2020.02.05.
184,"&#39;맛남의 광장&#39; 김희철, 백종원 아닌 소유진 찾았다... 열정 폭발",스타데일리뉴스,2020.02.05.
185,"‘맛남의 광장’ 김희철, 촬영 전 백종원 아닌 소유진 만났다..이유는?",OSEN,2020.02.05.
186,"“‘요알못’의 반란”…‘맛남의 광장’ 김희철, 백종원 아닌 소유진 만난 이유는?",한국일보,2020.02.05.
187,"정선군, 농산물 산지유통시설 확충에 17억5천만원 투입",국제뉴스,2020.02.05.
188,"영월군, 2020년도 폐광지역 소상공인 경영안정자금 지원",국제뉴스,2020.02.05.
189,"[종합]&#39;정희&#39; 김민아, 기상천외한 입담자랑…&#39;여자 장성규&#39;의 배꼽사냥",헤럴드POP,2020.02.05.
190,"김희철, ‘맛남의 광장’ 촬영 전 소유진 만난 이유는",TV리포트,2020.02.05.
191,&#39;정오의 희망곡&#39; 신동이 밝힌 #다이어트 #김신영 #정해인 [종합],엑스포츠뉴스,2020.02.05.
192,"김성호 강원도행정부지사, 정선 알파인경기장 철거반대 투쟁현장 방문",국제뉴스,2020.02.05.
193,"[단독] 박재범, &#39;맛남의 광장&#39; 남해 편 뜬다...3월 방송",YTN,2020.02.05.
194,&#39;미우새&#39; 이수근-김희철 &quot;뮤비에 있지가 적어서 그렇다&quot;…신동에 타박 ,톱스타뉴스,2020.02.05.
195,"Dr.칸칸매트, 미끄럼방지가 탁월한 강아지매트 최대60% 할인이벤트",경기도민일보,2020.02.05.
196,"컷헤어뉴스와 세시미용실, 이.미용 봉사활동",제주신보,2020.02.05.
197,“마스크 사겠다며 중국 유통업자 돈다발 싸들고 와”,새전북신문,2020.02.05.
198,2020년 2월 6일 [TV하이라이트],경향신문,2020.02.05.
199,"&#39;맛남의 광장&#39; 김희철X양세형, 특산물을 이용한 연구 숙제 결과 공개!",데일리그리드,2020.02.05.
200,“제 무대를 보고...” 경연 대회 나갔다가 &#39;콜드플레이&#39; 찬사 받은 뮤지션,위키트리,2020.02.05.
201,"[친절한 프리뷰] &#39;맛남의 광장&#39; 나은, 제주도 방언으로 특산물 홍보까지 &#39;완벽 적응&#39;",아시아투데이,2020.02.05.
202,Putting a new face on Korea’s traditional alcohol: TV star Jung Jun-ha is on a mission to help local breweries thrive,코리아중앙데일리,2020.02.06.
203,"&#39;맛남의 광장&#39;, 제주도에서 귤-당근으로 신메뉴 선보여",한스경제,2020.02.06.
204,"43세 은지원→29세 BTS 진, 세월 거스르는 동안 ★들 ‘TMI뉴스’[어제TV]",뉴스엔,2020.02.06.
205,"백종원 등 &#39;맛남의 광장&#39; 출연진, 제주 귤주공장에 &#39;착한 투자&#39;",연합뉴스,2020.02.06.
206,[인터뷰] 규현 &quot;슈퍼주니어에선 평범...뮤지컬 만나 &#39;웃는남자&#39;&quot;,뉴시스,2020.02.06.
207,"&#39;웃는 남자&#39; 규현 &quot;살 뺀 신동, 잘생김 얻고 재미 잃었다&quot; [인터뷰 비하인드]",스포츠투데이,2020.02.06.
208,`철파엠` 개그맨 김영철의 친누나 `애숙이 누나` 출연 &quot;라디오는 편집 안 돼 걱정이다&quot;,공감신문,2020.02.06.
209,[인터뷰] 슈퍼주니어 규현 &quot;젝스키스와 같은 날 컴백? 저희도 몰랐다…기사 보고 연락 드려&quot;,디지틀조선일보,2020.02.06.
210,"[투데이TV]&#39;맛남의 광장&#39; 김희철, &#39;맛남 당근 찹쌀 도넛&#39;에 &quot;바로 장사해&quot;",헤럴드POP,2020.02.06.
211,"&#39;맛남의 광장&#39; 김희철, 역대급 신메뉴 등장에 &quot;방송 그만두고 창업하자&quot; [포인트:톡]",엑스포츠뉴스,2020.02.06.
212,"&#39;당근밭 절반이상 폐작&#39;..&#39;맛남의광장&#39; 백종원, 맛남 단팥죽·당근 찹쌀도넛 신메뉴 꺼냈다",OSEN,2020.02.06.
213,"태백시, 준고령자 인턴채용 참여기업 및 인턴 참여자 모집",국제뉴스,2020.02.06.
214,‘맛남의 광장’ 역대급 신메뉴 등장에 김희철 폭탄발언 “방송 그만두고 창업하자”,뉴스엔,2020.02.06.
215,"“방송 No! 바로 창업하자”…‘맛남의 광장’ 김희철 폭탄 발언 부른, 제주 당근으로 만든 역대급 신메뉴는? [채널예약]",스포츠경향,2020.02.06.
216,"‘맛남의 광장’ 김희철, 역대급 新메뉴에 “방송 그만두고 창업하자”",텐아시아,2020.02.06.
217,"&#39;맛남의 광장&#39; 김희철, 백종원 신메뉴에 &quot;나라면 바로 장사 시작한다&quot; [오늘밤TV]",마이데일리,2020.02.06.
218,"&#39;맛남의 광장&#39; 김희철, 제주 당근 찹쌀 도넛에 매료 &quot;내가 PD면 방송 안 내... 장사 시작&quot;",스타데일리뉴스,2020.02.06.
219,"‘맛남의 광장’ 김희철, 역대급 신메뉴에 폭탄 발언 “바로 장사 시작한다”",한국일보,2020.02.06.
